"Company Name","Website","Company Type","City","State","Contact First Name","Contact Last Name","Job Title","Email","Email Type","Verification Status","Verification Method","Source URL","Date Verified"
"McGough Construction","https://www.mcgough.com/","Commercial General Contractor","Irvine","California","","","","subprequal@mcgough.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://www.mcgough.com/prequalifications","2026-09-11"
"Lewis/Schoeplein Architects","https://lewisschoeplein.com/","Architecture","Los Angeles","California","","","","hello@lewisschoeplein.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://lewisschoeplein.com/contact","2026-09-11"
"Huff Construction","https://www.huffconstructionsf.com/","Commercial General Contractor","San Francisco","California","","","","hello@huffconstructionsf.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://huffconstructionsf.com/get-in-touch/","2026-09-11"
"Hamel Contracting","https://hamelcontracting.com/","Commercial General Contractor","San Diego","California","","","","joe@hamelcontracting.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://www.hamelcontracting.com/contact-us.html","2026-09-11"
"Barnhart-Reese Construction","https://www.barnhartreese.com/","Commercial General Contractor","San Diego","California","","","","careers@barnhartreese.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://barnhartreese.com/contact","2026-09-11"
"McLean Contracting Company","https://www.mcleancontracting.com/","Commercial General Contractor","San Francisco","California","","","","info@mcleancontracting.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://www.mcleancontracting.com/contact","2026-09-11"
"Level 10 Construction","https://www.level10gc.com/","Commercial General Contractor","Sunnyvale","California","","","","marketing@level10gc.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://level10gc.com/contact/","2026-09-11"
"Valley Construction Services","https://vcsi.com/","Commercial General Contractor","Fresno","California","","","","info@vcsi.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://vcsi.com/contact/","2026-09-11"
"INDECON Builders","https://www.indeconbuilders.com/","Commercial General Contractor","Irvine","California","","","","mpulley@indeconbuilders.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://www.indeconbuilders.com/contact","2026-09-11"
"Graves Construction","https://www.gravesconstruction.com/","Commercial General Contractor","Foothill Ranch","California","","","","info@gravesconstruction.com","Role-Based","Verified - Published Official Website","Official website/public directory","https://gravesconstruction.com/contact/","2026-09-11"
