Company Name,Website,Company Type,City,State,Contact First Name,Contact Last Name,Job Title,Email,Email Type,Verification Status,Verification Method,Source URL,Date Verified
Charlotte Civil Engineering Services,https://charlottecivilengineeringservices.com,Civil Engineering,Charlotte,NC,,,General Inquiries,info@charlottecivilengineeringservices.com,Role-Based,Verified - Published Official Website,Official website contact page,https://charlottecivilengineeringservices.com/contact-us,2026-09-11
Finley Design,https://www.finleydesignarch.com,Architecture / Interiors,Durham,NC,,,General Inquiries,info@finleydesignarch.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.finleydesignarch.com/contact,2026-09-11
DTW Architects & Planners,https://dtwarch.com,Architecture / Planning,Durham,NC,,,General Inquiries,info@dtwarch.com,Role-Based,Verified - Published Official Website,Official website contact page,https://dtwarch.com/contact,2026-09-11
Studio Forty,https://studioforty.net,Architecture / Space Planning,Raleigh,NC,,,General Inquiries,info@studioforty.net,Role-Based,Verified - Published Official Website,Official website contact page,https://studioforty.net/contact-us,2026-09-11
BrookeChase Properties,https://www.brookechaseproperties.com,Commercial / Residential Developer,Matthews,NC,,,Owner / Broker / Developer,bcpinfo@brookechaseproperties.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.brookechaseproperties.com,2026-09-11
Carolina Development Group,https://www.carolinadevgroup.com,Land / Commercial Developer,Raleigh,NC,,,General Inquiries,info@carolinadevgroup.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.carolinadevgroup.com/contact,2026-09-11
GS Carolina,https://gscarolina.com,Real Estate Developer / Manager,Charlotte,NC,,,General Inquiries,info@gscarolina.com,Role-Based,Verified - Published Official Website,Official website contact page,http://gscarolina.com/contact.htm,2026-09-11
DC Design Build Associates,https://www.designbuildavl.com,Design-Build Firm,Asheville,NC,,,General Inquiries,info@designbuildavl.com,Role-Based,Verified - Published Official Website,Official website homepage,https://www.designbuildavl.com/,2026-09-11
Trinity Design/Build,https://www.trinitydesignbuild.com,Design-Build Firm,Durham,NC,,,General Inquiries,info@trinitydesignbuild.com,Role-Based,Verified - Published Official Website,Official website contact page,https://www.trinitydesignbuild.com/contact,2026-09-11
Scroggs Construction,https://scroggsconstruction.com,Design-Build Firm / Custom Homebuilder,Asheville,NC,,,Office,office@scroggsconstruction.com,Role-Based,Verified - Published Official Website,Official website design-build page,https://scroggsconstruction.com/services/design-build,2026-09-11
Alexander Design Build,https://alexanderdesignbuild.com,Design-Build General Contractor,Clayton,NC,,,General Inquiries,info@alexanderdesignbuild.com,Role-Based,Verified - Published Official Website,Official website contact page,https://alexanderdesignbuild.com/contact-us,2026-09-11
Collins Design-Build,https://www.planningtomorrow.com,Design-Build Firm / Homebuilder,Durham,NC,Chad,Collins,Founder / Builder,chad@collinsdesignbuild.com,Named,Verified - Published Official Website,Official website about page,https://www.planningtomorrow.com/about-collins-design-build,2026-09-11
Consigli Construction Company,https://www.consigli.com,Construction Manager,Durham,NC,Manasa,Badri,Project Contact,mbadri@consigli.com,Named,Verified - Official Public Document,City of Raleigh bid advertisement,https://evp.nc.gov/_entity/annotation/0632010c-5080-f111-ab0f-001dd80bcb64/863ea987-6d3e-ed11-9daf-001dd805ec0b?t=1784073600279,2026-09-11
Armen Construction,https://armenconstruction.com,Commercial General Contractor,Charlotte,NC,Victor,Ariza,Contact,victor@armenconstruction.com,Named,Verified - Official Public Document,NCDOT plan holder list,https://connect.ncdot.gov/letting/Division%208%20Letting/6-22-2021/2021_D1_Concrete_Contract_11972450_PLAN_HOLDER_LIST.pdf,2026-09-11
ASJ Wilson Construction,https://asjwilsonconstruction.com,Commercial General Contractor,Greensboro,NC,Josephus,Wilson,Contact,joe@asjwilsonconstruction.com,Named,Verified - Official Public Document,NCDOT plan holder list,https://connect.ncdot.gov/letting/Division%208%20Letting/04-12-2022/DH00342_R-5825_Chatham_Plan_holder.pdf,2026-09-11
Atlantic Contracting Company,https://atlanticcontractinginc.com,Commercial General Contractor,Greensboro,NC,Niveen,Kattan,Contact,niveen@atlanticcontractinginc.com,Named,Verified - Official Public Document,NCDOT plan holder list,https://connect.ncdot.gov/letting/Division%208%20Letting/04-12-2022/DH00342_R-5825_Chatham_Plan_holder.pdf,2026-09-11
Carolina Site Concepts,https://carolinasiteconcepts.com,Site / Commercial Contractor,Charlotte,NC,William,Sclater Heindl,Contact,sheindl@carolinasiteconcepts.com,Named,Verified - Official Public Document,NCDOT plan holder list,https://connect.ncdot.gov/letting/Division%208%20Letting/6-22-2021/2021_D1_Concrete_Contract_11972450_PLAN_HOLDER_LIST.pdf,2026-09-11
Blythe Development,https://blythedevelopment.com,Commercial / Infrastructure Contractor,Charlotte,NC,Frank,Blythe,Contact,frankb@blythedevelopment.com,Named,Verified - Official Public Document,NCDOT plan holder list,https://connect.ncdot.gov/letting/Division%208%20Letting/04-12-2022/DH00342_R-5825_Chatham_Plan_holder.pdf,2026-09-11
